Info    : Reading '../results/t21/domain.msh'...
Info    : 17 entities
Info    : 11800 nodes
Info    : 23238 elements
Info    : Done reading '../results/t21/domain.msh'

	Heat conduction with four sources (single) - Data Parallelism

> Path = ../results/t21
> Nbr of triangles = 23206
> Iterations:
i =   0 | cost = 0.1946 | cstr = 1.5485 | nder = 0.6031 | steps =  0 | lagr = 0.1946 | lm = 0.0000 | mu = 0.0000
i =   1 | cost = 0.1699 | cstr = 1.5683 | nder = 1.0041 | steps = 16 | lagr = 1.6281 | lm = 1.1355 | mu = 0.0000
i =   2 | cost = 0.1730 | cstr = 1.4824 | nder = 1.1018 | steps = 15 | lagr = 1.7365 | lm = 1.2116 | mu = 0.2477
i =   3 | cost = 0.1804 | cstr = 1.3807 | nder = 1.1705 | steps = 15 | lagr = 1.7723 | lm = 1.2578 | mu = 0.4971
i =   4 | cost = 0.1921 | cstr = 1.2694 | nder = 1.1952 | steps = 15 | lagr = 1.7388 | lm = 1.2756 | mu = 0.7373
i =   5 | cost = 0.2153 | cstr = 1.1515 | nder = 1.6610 | steps = 16 | lagr = 1.6291 | lm = 1.2478 | mu = 0.9451
i =   6 | cost = 0.2294 | cstr = 1.0463 | nder = 1.0569 | steps = 15 | lagr = 1.4574 | lm = 1.1757 | mu = 1.0831
i =   7 | cost = 0.2421 | cstr = 0.9454 | nder = 0.8594 | steps = 16 | lagr = 1.2031 | lm = 1.0196 | mu = 1.1287
i =   8 | cost = 0.2500 | cstr = 0.8734 | nder = 0.6401 | steps = 16 | lagr = 0.9521 | lm = 0.8222 | mu = 1.0752
i =   9 | cost = 0.2533 | cstr = 0.8253 | nder = 0.4384 | steps = 16 | lagr = 0.7247 | lm = 0.6081 | mu = 0.9572
i =  10 | cost = 0.2512 | cstr = 0.8033 | nder = 0.3177 | steps = 16 | lagr = 0.5420 | lm = 0.4101 | mu = 0.8030
i =  11 | cost = 0.2443 | cstr = 0.7991 | nder = 0.2922 | steps = 16 | lagr = 0.3902 | lm = 0.2331 | mu = 0.6345
i =  12 | cost = 0.2331 | cstr = 0.8111 | nder = 0.3183 | steps = 16 | lagr = 0.2673 | lm = 0.0862 | mu = 0.4635
i =  13 | cost = 0.2210 | cstr = 0.8309 | nder = 0.3707 | steps = 16 | lagr = 0.1613 | lm = -0.0375 | mu = 0.3004
i =  14 | cost = 0.2090 | cstr = 0.8639 | nder = 0.4080 | steps = 16 | lagr = 0.0858 | lm = -0.1212 | mu = 0.1507
i =  15 | cost = 0.1977 | cstr = 0.9007 | nder = 0.4229 | steps = 15 | lagr = 0.0325 | lm = -0.1725 | mu = 0.0259
i =  16 | cost = 0.1872 | cstr = 0.9417 | nder = 0.4061 | steps = 15 | lagr = 0.0100 | lm = -0.1845 | mu = -0.0681
i =  17 | cost = 0.1784 | cstr = 0.9821 | nder = 0.3610 | steps = 16 | lagr = 0.0206 | lm = -0.1604 | mu = -0.1246
i =  18 | cost = 0.1719 | cstr = 1.0168 | nder = 0.2966 | steps = 16 | lagr = 0.0611 | lm = -0.1086 | mu = -0.1422
i =  19 | cost = 0.1663 | cstr = 1.0443 | nder = 0.2164 | steps = 16 | lagr = 0.1255 | lm = -0.0372 | mu = -0.1257
i =  20 | cost = 0.1629 | cstr = 1.0616 | nder = 0.1458 | steps = 15 | lagr = 0.2021 | lm = 0.0405 | mu = -0.0827
i =  21 | cost = 0.1601 | cstr = 1.0734 | nder = 0.1065 | steps = 16 | lagr = 0.2873 | lm = 0.1235 | mu = -0.0232
i =  22 | cost = 0.1592 | cstr = 1.0721 | nder = 0.1293 | steps = 16 | lagr = 0.3589 | lm = 0.1911 | mu = 0.0471
